id,date,speaker,statement,label_fnn,word_count,text_length
3953,2011-06-17T06:00:00-04:00,Ray Lewis,"""Do this research â¦ watch how much crime picks up if you take away [football].""",fake,925,5149
10317,2014-12-16T11:20:56-05:00,Matthew Cooke,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",fake,799,4882
1452,2010-02-03T17:29:42-05:00,Rick Perry,"""We cut property taxes by one-third.""",fake,724,4275
14911,2018-01-09T18:08:58-05:00,Donald Trump,"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",fake,693,3964
15392,2018-05-16T13:20:50-04:00,Steve Adler,"Says Austin is ""creating more jobs than any other city in the country.""",fake,823,4748
10110,2014-10-21T15:52:24-04:00,Bill O'Reilly,"""When I go on Letterman"" the ""ratings go up.""",real,470,2769
6427,2012-08-09T00:01:00-04:00,Allen West,"In June 2012 ""we actually had more people go on Social Security Disability [85,000] ... than the 80,000 jobs that were created.""",real,721,4335
5023,2011-12-25T06:00:00-05:00,Anne Nolan,"""We have one of the highest percentages per capita of nonprofits in this state of any state in the union.""",real,803,4805
9561,2014-07-09T11:06:28-04:00,Bloggers,"The U.S. Patent and Trademark Office ""received zero complaints"" about the Washington Redskins name.",fake,898,5305
6775,2012-09-26T10:59:46-04:00,Stacey Campfield,"Says that ""you canât destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.""",fake,998,5647
4072,2011-07-10T06:00:00-04:00,Mitt Romney,"By the end of his first term, President Obama will have added as much debt as all the prior 43 presidents combined.",real,1057,5897
7281,2013-01-22T17:55:40-05:00,Rick Scott,"Says his elections proposal would allow ""a potential of 168 hours (of early voting), which I think is the most weâve ever had.""",real,744,4258
5779,2012-04-23T06:00:00-04:00,Michael Adams,"Georgiaâs HOPE scholarship is ""still the richest scholarship program in America.""",real,833,4958
13386,2016-10-31T16:51:14-04:00,Hillary Clinton,"""Donald Trump's strategy is pretty simple. They have even said in his campaign it's to get women to stay home, get young people to stay home, get people of color to stay home, and get a lot smart, intelligent men to stay home, too.""",real,661,3991
2490,2010-09-29T09:00:00-04:00,Tom Barrett,"When each faced a pension funding crisis, Tom Barrett made tough choices and smart cuts while Scott Walker passed $400 million in pension debt to the next generation.",real,1591,9323
11335,2015-09-22T16:08:25-04:00,Matthew Dowd,"Says Pope Francis ""took the name of a saint who basically reached out to Muslims.""",real,1162,6379
12138,2016-03-31T05:00:00-04:00,JoAnne Kloppenburg,"Says the GOP is ""helping pay for"" Justice Rebecca Bradley's campaign and ""she recently skipped court to attend an event paid for"" by Scott Walker's ""lobbyist friends.""",real,617,3710
10934,2015-06-11T16:49:21-04:00,Pamela Geller,"""In Muslim countries, under the Sharia, there is a death penalty for blaspheming Mohammad.""",real,690,4149
7858,2013-06-06T00:01:00-04:00,Gina Raimondo,"""The average student comes out of college hundreds of thousands of dollars in debt.""",fake,548,3188
13336,2016-10-24T16:23:41-04:00,Hillary Clinton,"In 1928 ""school boards sent home letters with children saying that if Al Smith is elected president, you will not be allowed to have or read a Bible.""",real,529,2918
14163,2017-05-31T05:00:00-04:00,Mark Pocan,"In Wisconsinâs school voucher program, ""two-thirds of the money"" in the ""tax vouchers"" went to people ""making more than $100,000.""",fake,437,2546
14196,2017-06-07T15:53:39-04:00,Sarah Palin,Says an Internet meme shows people rejoicing over the Paris agreement.,fake,832,4822
3907,2011-06-10T09:00:00-04:00,Sandy Pasch,"Says U.S. Rep. Paul Ryan promised to ""end health care for our seniors.""",fake,875,5173
6721,2012-09-24T09:00:00-04:00,Tommy Thompson,"""We have more natural gas than Saudi Arabia has oil.""",fake,320,2017
8959,2014-02-21T16:46:05-05:00,Gordon Challstrom,"""Oregon and the federal government now have more than one million acres of burnt land and millions of trees are being left to rot.""",real,878,5000
2840,2010-11-18T17:50:55-05:00,Dean Cannon,"The Florida Supreme Court has ""no express authority in the Florida Constitution"" to remove questions from the ballot proposed by the Legislature.",fake,1630,9922
2477,2010-09-27T17:00:25-04:00,Steve Southerland,"""Over the past year ... our 16 counties have hemorrhaged more than 6,000 jobs with no apparent end in sight.""",fake,512,3021
16867,2019-05-10T18:13:23-04:00,Brandon Creighton,"""Texas actually leads in the number of (Confederate) monuments removed.""",real,807,4795
18193,2020-03-19T12:15:59-04:00,Donald Trump,"Says that âover a 45-minute period that we had the press conferenceâ on the coronavirus on March 13, 2020, the stock market set ""an all-time record.""",real,742,4165
2907,2010-12-06T06:00:00-05:00,NFL Players Association,A National Football League lockout would cost Atlanta $160 million in lost jobs and revenue.,fake,1006,5952
8446,2013-10-23T10:30:27-04:00,Marco Rubio,"""I never was in favor of shutting down the government. â¦ (I) voted to fund the government fully.""",fake,1116,6663
17238,2019-08-27T12:39:25-04:00,Viral image,Says Susan Coleman was killed after having an affair with Bill Clinton.,fake,471,2813
4447,2011-09-18T05:15:00-04:00,Hetty Rosenstein,"""The average state pension, including managers, is $23,000 a year; and just $14,000 for local government workers.""",real,627,3818
2574,2010-10-12T17:42:55-04:00,Florida Democratic Party,"Taking the Fifth Amendment in a deposition about the Columbia/HCA hospital chain he founded ""means a truthful answer to the questions that (Rick Scott) was asked would incriminate him.""",real,1132,6758
14864,2017-12-22T15:54:57-05:00,Kirsten Gillibrand,"""The truth is this tax [plan] raises middle-class taxes.""",real,561,3301
1637,2010-03-29T13:52:30-04:00,Charlie Crist,"""The average cost for health insurance in Florida went from about $600 a month for an individual to about $150 a month.""",fake,786,4586
9134,2014-04-03T11:06:01-04:00,Heather McGhee,"""Less than 1 percent of 1 percent of the American population has given an amount over $200"" to a federal political campaign.",fake,546,3158
12997,2016-09-01T14:51:27-04:00,Roy Cooper,"Says Gov. Pat McCrory ""tried to cut education funding to its lowest budget share in over 30 years.""",real,898,5251
4398,2011-09-06T16:47:33-04:00,Barack Obama,"A bipartisan payroll tax cut championed by the White House has meant that ""the average family has an extra $1,000 in their pocket"" this year.",real,631,3630
17756,2020-01-13T14:02:13-05:00,Viral image,Says a video shows drone footage of the killing of Qassem Soleimani.,fake,246,1414
7763,2013-05-12T07:30:00-04:00,Chris Christie,"""Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jerseyâs best teachers, and the most education funding ever.""",real,585,3511
10380,2015-01-14T05:00:00-05:00,Gwen Moore,"Says Mitch McConnell credits Republicans ""for recent economic improvements"" even though they took control of the Senate only ""days ago.""",real,302,1851
3760,2011-05-17T13:31:58-04:00,Steve Oelrich,"""You can't give a child an aspirin in school without permission. You can't do any kind of medication, but we can secretly take the child off and have an abortion.""",real,710,4336
15873,2018-09-18T16:09:08-04:00,Phil Bredesen,"Says Marsha Blackburn ""at the behest of the pharmaceutical industry, co-sponsored a law that weakened DEA enforcement efforts against drug distribution companies that were supplying corrupt doctors and pharmacists who peddled narcotics to the black market.""",real,1257,7692
4011,2011-06-28T12:47:43-04:00,Democratic Party of Virginia,"Gov. Bob McDonnell launched a ""raid on public education to pay for roads.""",real,664,4127
6017,2012-06-01T10:58:37-04:00,Tom Barrett,"""No one on my staff has ever been charged with a crime.""",fake,359,2095
6183,2012-07-01T00:01:00-04:00,Helio Melo,"""People who wash cars at home will use approximately 80 percent more water than they do in a car wash.""",fake,902,5146
16947,2019-06-05T13:38:12-04:00,Viral image,Says the lines on the signature Solo cup are actually markings to designate various measurements.,fake,473,2656
13642,2017-01-22T15:51:19-05:00,Ashley Judd,"""Pads and tampons (are) still taxed when Viagra and Rogaine are not.""",real,493,2890
11123,2015-07-28T10:46:27-04:00,Barack Obama,"""The economy, by every metric, is better than when I came into office.""",fake,671,3905
1863,2010-06-07T10:38:31-04:00,David Caton,"If voters agree in November to approve a one-cent sales tax increase, that will give ""Hillsborough County the highest sales tax of all Florida counties.""",real,818,4954
4037,2011-07-04T06:00:00-04:00,Charles Perry,Says $6 billion projected to accumulate in the stateâs rainy day fund is already used.,fake,484,2849
1521,2010-02-25T18:25:45-05:00,Charles Boustany,"The CBO found that the House Republican health care plan would lower premiums by ""up to about 10 percent"" and, for purchasers in the individual market, ""those cost savings could even be higher.""",real,1036,6362
13410,2016-11-03T06:00:00-04:00,Russ  Feingold,"Says Donald Trump and Ron Johnson ""oppose a woman's right to choose and Johnson voted against the Violence Against Women Act.""",real,857,5180
2993,2010-12-29T06:00:00-05:00,Rick Perry,"""In 1981, Matagorda, Brazoria, and Galveston Counties all opted out of the Social Security program for their employees. Today, their program is very, very well-funded and there is no question about whether itâs going to be funded in"" years to come.",real,1405,8744
15638,2018-07-23T13:23:29-04:00,Kirstjen Nielsen,"""There are billboards in Central America in the Northern Triangle countries advertising how to grab a kid to get into the United States illegally.""",fake,1080,6611
16012,2018-10-16T10:24:21-04:00,Washington State Democratic Party,"Says congressional candidate Dino Rossi once suggested ""the state build homes for unwed mothers.""",real,1009,5856
10798,2015-05-05T10:41:42-04:00,Marco Rubio,"The United States ""is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.""",fake,1019,6095
5959,2012-05-24T07:30:00-04:00,Shelley Adler,"Says Jon Runyan voted to ""end programs to aid homeless veterans.""",fake,530,3193
13697,2017-02-03T13:00:50-05:00,Kellyanne Conway,"""Two Iraqis came here to this country, were radicalized and they were the masterminds behind the Bowling Green massacre. â¦ It didn't get covered""",fake,1420,8442
14141,2017-05-22T16:35:32-04:00,Dennis Prager,"""It was a 100 percent lie that (Donald Trumpâs) election unleashed anti-Semitism. â¦ Hundreds of Jewish community centers had bomb threats called in. To the best of our knowledge to this day, 90 percent of them were called in by an American Jewish kid living in Israel, and the other 10 percent were a black radical who was trying to impress his girlfriend.""",real,1109,6632
17196,2019-08-14T12:53:18-04:00,Viral image,"Says a crisis actor played the parts of a shooting victim and the mothers of shooting victims in Las Vegas, Orlando and Thousand Oaks.",fake,452,2600
9759,2014-08-14T11:19:02-04:00,Joe Miller,"""If 20 million illegals vote, you can kiss the Second Amendment goodbye.""",fake,1028,6197
7484,2013-03-10T07:30:00-04:00,Barbara Buono,"""Governor Christie, his idea of jumpstarting the economy is to propose a trickle-down income tax cut last year and in his budget address this year, he stated his support for it again.""",fake,568,3362
4156,2011-07-21T09:00:00-04:00,AFL-CIO,"Republican redistricting plans cut Democrat Nancy Nusbaum out ofÂ  ""her state Senate district by a half a block.""",real,977,5622
2293,2010-08-30T06:00:00-04:00,Bill White,Says most of Perry's chiefs of staff have been lobbyists.,real,986,6018
5165,2012-01-18T18:30:48-05:00,Suzanne Bonamici,PolitiFact Oregon gave Rob Cornilles a Pants on Fire for a claim about taxes and fees.,fake,509,2950
2266,2010-08-20T16:38:45-04:00,Florida First Initiative,"""Reporters have uncovered another Scott company accused of criminal acts. But Scott won't come clean.""",fake,872,5206
13803,2017-03-02T13:43:00-05:00,Lois Kolkhorst,"Says the proposed Texas Privacy Act ""is very different from"" North Carolinaâs law ""in that theirs covers a whole list of things that the Texas Privacy Act does not.""",real,974,6260
6977,2012-10-22T06:00:00-04:00,Larry Sabato,Virginiaâs educational level among whites is higher than Georgiaâs.,real,748,4711
13083,2016-09-19T14:31:16-04:00,Charley Wilkison,"""Texas has lost the most law enforcement officers in the line of duty of any state in America.""",real,663,3887
9822,2014-08-26T13:55:25-04:00,Cornel West,"Says President Barack Obama released a statement on the ""death of brother Robin Williams before ... a statement on brother Michael Brown.""",real,854,5057
10466,2015-02-03T10:34:14-05:00,Barack Obama,"""The reason we even have colleges is that at some point there were politicians who said, âYou know what? We should start colleges.â """,fake,1141,7032
5171,2012-01-19T18:09:38-05:00,Rick Santorum,Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.,fake,912,5585
5552,2012-03-19T06:00:00-04:00,Kasim Reed,"""We also have, in a park thatâs not far from here, an ability to build a reservoir that can hold a 30-day water supply for the city of Atlanta.""",real,708,4083
13654,2017-01-25T15:28:33-05:00,Bloggers,"Say George Soros's money ""went straight into the (Womenâs March) protestersâ pockets.""",fake,581,3573
3985,2011-06-24T08:00:00-04:00,Paul Doughty,"""Providence is one of the busiest fire departments for its relative size in the country.""",real,1140,6734
7412,2013-02-20T06:00:00-05:00,Paul Broun,"""There are more people killed with baseball bats and hammers than are killed with guns.""",fake,577,3304
12443,2016-05-27T10:30:00-04:00,Vicki Martin,"Only 50 percent of students from Milwaukee public high schools ""go on to a two-or four-year college.""",real,567,3375
16253,2018-11-29T14:37:45-05:00,Donald Trump,"Says of immigrant family separations at the border, ""we had the exact same policy as the Obama administration.""",fake,736,4542
10191,2014-11-06T10:40:40-05:00,Joe Scarborough,"2014 midterm election spending by ""the left and the right are both equal.""",real,917,5442
8558,2013-11-17T00:01:00-05:00,Kenneth Block,"Rhode Island's unemployment insurance system ""is the most expensive such system in the country.""",fake,823,4893
9687,2014-07-30T18:04:53-04:00,Concerned Veterans for America,"Says Rep. Bruce Braley, D-Iowa, missed ""79 percent of veterans affairs committee hearings.""",real,766,4632
4546,2011-10-05T06:00:00-04:00,Herman Cain,"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",fake,831,4894
18236,2020-03-25T16:53:28-04:00,Facebook posts,âAustralia Closing Borders in a few hours for 6-monthsâ,real,508,2910
9570,2014-07-12T00:00:00-04:00,Mike Collins,Another great endorsement! Barrow Journal explains the difference between me and Jody Hice.,real,670,4028
5702,2012-04-09T06:00:00-04:00,Nathan Deal,"""As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it.""",real,800,4895
6333,2012-07-30T07:30:00-04:00,Chris Christie,"""What I look at every month is how many more New Jerseyans are back to work. You have another 9,900 last month that are back to work and over almost 90,000 that are back to work now since I became governor.""",fake,550,3151
13300,2016-10-20T00:11:13-04:00,Donald Trump,"Says Hillary Clinton ""wanted the wall.""",real,385,2160
9163,2014-04-09T06:00:00-04:00,Paul Broun,"Says U.S. Reps. Phil Gingrey and Jack Kingston have ""even changed votes to what I voted, multiple times.""",fake,1315,7568
576,2008-07-18T00:00:00-04:00,Barack Obama,"""We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.""",real,748,4220
17884,2020-02-10T15:10:23-05:00,Viral image,"Says Maxine Waters said: âI say, we knock off Trump and then, go after Pence. We have the power.â",real,747,4101
2643,2010-10-21T09:00:00-04:00,Scott Walker,"""Scientists have shown us (that) the greater possibilities, the real science movement, has been with adult stem cell research. It has not been with embryonic.""",fake,994,5918
8191,2013-08-27T00:00:00-04:00,Jack Kingston,"Says an illegal immigrant fraudulently claimed children who actually lived in Mexico on income tax forms to collect more than $29,000.",real,761,4623
18275,2020-04-03T11:02:53-04:00,Facebook posts,Says the U.S. is developing an âantivirusâ that includes a chip to track your movement.,fake,554,3293
16039,2018-10-19T12:01:25-04:00,Senate Leadership Fund,"""Washington Heidi supports sanctuary cities, where illegal immigrants can be released on our streets, like this criminal, who was let go and then sexually assaulted a child.""",fake,743,4592
9009,2014-03-05T16:46:24-05:00,Chuck Hagel,"""It isn't me cutting the budget. It's the Congress'Â decision on sequestration. So it isn't secretary of defense or the president doing this.""",real,720,4353
7980,2013-07-08T00:00:00-04:00,Lynn Westmoreland,"""It is against the law for the NSA to record or monitor Americansâ phone calls without getting a specific FISA warrant to do so.""",real,884,5529
9417,2014-06-06T13:33:57-04:00,Alison Lundergan Grimes,"""Sen. McConnell says it's not his job to bring jobs to Kentucky.""",real,1066,6321
13966,2017-04-17T16:46:12-04:00,Randolph Bracy,"""African-Americans are grossly overrepresented on Floridaâs death row.""",real,936,5772
13867,2017-03-16T14:20:38-04:00,Donald Trump,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",fake,466,2723
8209,2013-08-30T12:55:29-04:00,Jay Nixon,"Says that ""unlike Texas, Missouri has a perfect AAA credit rating.""",real,793,4878
13003,2016-09-01T17:23:48-04:00,James Woods,"""The Dallas Cowboys canât put a sticker on their helmets for the 5 police officers who were killed.""",real,749,4282
3602,2011-04-16T06:00:00-04:00,Jeff Cogen,"Multnomah County has faced ""11 straight years"" of cuts",real,727,4202
8946,2014-02-19T17:47:58-05:00,Rachel Maddow,"""When the Dallas/Fort Worth Airport needed to stop its earthquake spike a few years ago, they temporarily shut down the wells that were injecting fracking fluid into the ground ... (and) those earthquakes stopped.""",real,425,2455
12579,2016-06-26T12:00:00-04:00,Ted Cruz,"Barack Obama issued a decree ""demanding that every public school now allow grown men and boys into the little girlsâ bathroom.""",fake,862,5464
13001,2016-09-02T10:30:00-04:00,Paul Ryan,"Under the current procedure, if someone ""on a terror watch list"" tries to buy a gun, authorities are notified.",real,690,4204
5657,2012-04-03T00:01:00-04:00,Chain email,"""Having an entirely Democrat congressional delegation in 2009, when the [federal stimulus] bill passed, increases the per capita stimulus dollars that the state receives per person by $460.""",real,625,3731
1220,2009-09-30T12:45:57-04:00,Steve Doocy,"White House Political Director Patrick Gaspard once served as the ""right-hand man"" for Bertha Lewis, who heads up ACORN.",fake,1102,6204
8363,2013-10-07T10:26:58-04:00,Todd Staples,"Says David Dewhurst ""went out for drinks"" during Senate debate on abortion bill.",real,801,4727
15234,2018-04-09T08:00:00-04:00,Donald Trump,"""This will be the last time â April â that youâre going to (fill out) that old-fashioned, big, lots of pages, complicated tax form. Because next April youâre going to, in many cases, (file) one page, one card. Itâs going to be very, very different. Very, very different.""",fake,649,3591
16569,2019-03-06T10:49:59-05:00,Carol Miller,"""Just two weeks ago, Customs and Border Protection seized enough fentanyl to kill every person in West Virginia 32 times over.""",real,514,3060
10639,2015-03-22T00:01:00-04:00,Donna Nesselbush,"""In an average grocery store, roughly 75 percent of processed foods contain genetically modified organisms, or GMOs.""",real,861,5308
4468,2011-09-19T16:29:58-04:00,Rachel Maddow,"""Poverty among Americans 65 and over is statistically unchanged"" in recent years because of Social Security.",real,1117,6685
16151,2018-11-02T06:00:00-04:00,Scott Walker,"Says Tony Evers wants to give in-state tuition and drivers licenses to ""illegal aliens.""",real,780,4695
4592,2011-10-13T06:00:00-04:00,John Boehner,"""Our unemployment rate has been higher than 8 percent for more than two-and-a-half years, far above what the Obama Administration promised with the 'stimulus.' """,fake,919,5643
10137,2014-10-24T15:57:34-04:00,Scott Brown,"Says Jeanne Shaheen ""voted to pave the way for a new national energy tax.""",fake,756,4314
10558,2015-02-27T05:00:00-05:00,Kurt Bauer,Ninety-five percent of the money used for union-operated worker training centers comes from employers.,fake,888,5261
4205,2011-08-01T06:00:00-04:00,La Raza,Medicaid is the primary source of health insurance for 41.7 percent of Hispanic children in Georgia.,real,675,4044
6105,2012-06-15T16:49:13-04:00,Ron Paul,Says he has nearly 200 delegates bound to support his candidacy at the Republican National Convention.,fake,929,5647
4039,2011-07-01T09:00:00-04:00,Jeff Fitzgerald,"Says Wisconsinâs 2011-13 state budget contains ""no fee increases""",fake,768,4307
12097,2016-03-21T05:00:00-04:00,JoAnne Kloppenburg,"In the primary election, a ""right-wing group spent more than $100,000,000 to support"" Supreme Court Justice Rebecca Bradley.",fake,371,2241
7986,2013-07-08T16:13:30-04:00,Luis Gutierrez,"Says under the Senate immigration bill, newly legalized immigrants will ""pay every tax possible, but you donât get a single benefit"" for 10 years.",real,1083,6710
17625,2019-12-10T14:57:14-05:00,Greg Steube,"""We provided terrorists in Iraq more rights and due process in the Central Criminal Court of Iraq"" than House Democratic leadership has afforded President Donald Trump in the impeachment inquiry.",fake,778,4732
15005,2018-02-02T13:17:22-05:00,Ann Coulter,"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",fake,1099,7005
15162,2018-03-27T09:00:00-04:00,Mike Gibbons,"""A lot"" of Sen. Sherrod Brownâs policies ""reflect that interest in Marxism"" and a fondness for communism.",fake,1037,6306
13550,2016-12-19T03:00:00-05:00,Bryce Reeves,"""If youâre a single mom, and youâve two kids in the city of Richmond, you can almost make $50,000 a year on the public dole.""",real,666,3788
2161,2010-08-01T06:00:00-04:00,Michael Sullivan,Says the director of NASA says its main mission is Muslim outreach.,real,858,5192
8553,2013-11-14T17:04:31-05:00,Goldie Taylor,"""Our national debt is as low as it has been since World War II.""",fake,626,3560
1864,2010-06-07T15:00:50-04:00,John Kerry,"""We now actually import more oil than we did before 9/11.""",real,452,2636
16573,2019-03-07T11:03:18-05:00,James Lankford,"""Tax revenue went up, actually, $14 billion last year after the tax cut actually occurred. We had greater revenue.""",fake,603,3455
15218,2018-04-03T17:16:52-04:00,The Trump Talks,"""Breaking! Terrorist attacks Trumps at Mar A Lago.""",fake,322,1953
3873,2011-06-06T17:22:30-04:00,Austan Goolsbee,"""Over the last 15 months, we've added more than 2 million jobs in the private sector. That's far in excess of what it was in the comparable period after the last recession.""",real,876,5206
5817,2012-04-30T06:00:00-04:00,Chain email,"Says the Department of Homeland Security has ordered ""enough rounds of .40 caliber ammunition to kill every man, woman and child in the United States,"" possibly to combat ""massive civil unrest"" or ""an invasion by a foreign power.""",fake,898,5501
4414,2011-09-08T17:53:27-04:00,Rick Perry,"""Michael Dukakis created jobs three times faster"" than Mitt Romney.",real,855,5078
11976,2016-02-28T18:32:05-05:00,Bernie Sanders,"Says he supported the 1994 crime bill because ""there is a ban on assault weapons in that bill.""",real,995,5662
8120,2013-08-07T00:00:00-04:00,Nancy  Gordeuk,"""The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers.""",real,829,5184
15865,2018-09-16T15:00:00-04:00,Erika Harold,"Says ""Mike Madigan and Kwame Raoul team up to raise property taxes.""",fake,811,4859
8641,2013-12-08T17:10:19-05:00,James Carville,"""One-third of all bank tellers (are) on public assistance.""",real,613,3607
16249,2018-11-21T10:00:00-05:00,Viral image,"""Illegal refugees get $3,874/mo. Under the Federal Assistance Program. Our SS checks are approximately $1,200/mo.""",fake,710,4416
2146,2010-07-31T06:00:00-04:00,Gordon Quan,"Some cardiologists estimate ""70 percent of all males over 50 have some form of heart disease.""",real,584,3592
4699,2011-10-31T06:00:00-04:00,E. Gordon Gee,"""We are the poster child for compliance, and whenever we discover possible infractions we resolve and report it to the NCAA no matter how minor the violations.""",real,1499,8944
14084,2017-05-05T12:01:30-04:00,Antonio  Villaraigosa,"""When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.""",real,1088,6761
10605,2015-03-10T18:21:44-04:00,Ron Johnson,"""The Iranian parliament will get to say yes or no on this deal, and I think the United States Congress should have the exact same input into the process.""",fake,836,5151
7943,2013-06-26T10:39:35-04:00,Lauren Benedict,"U.S. Rep. Phil Gingrey wants public schools to teach women to ""stay in their place.""",fake,858,4899
14281,2017-06-30T16:57:12-04:00,Marco Rubio,"""There is no reason for anybody to be losing any of their current benefits under Medicaid.""",fake,1040,6186
14244,2017-06-21T14:43:28-04:00,Gus Bilirakis,"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",fake,804,4942
240,2007-12-21T00:00:00-05:00,Bill Richardson,"""Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.""",fake,471,2745
11827,2016-01-31T16:16:16-05:00,Ted Cruz,"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",fake,953,5463
4217,2011-08-03T05:15:00-04:00,Cory Booker,Says more than eight countries lead the United States in the percentage of college graduates.,real,735,4458
2353,2010-09-08T17:22:48-04:00,Barack Obama,"John Boehner said the jobs of ""teachers and nurses and police officers and firefighters"" are ""'government jobs' that weren't worth saving.""",fake,712,4218
6348,2012-07-30T11:53:17-04:00,Gerard Robinson,"FCAT tests ""account for less than 1 percent of the instructional time provided during the year.""",fake,1089,6346
15917,2018-09-27T06:00:00-04:00,Rick Scott,Says Sen. Bill Nelson is a socialist.,fake,798,4871
12043,2016-03-10T01:07:33-05:00,Hillary Clinton,"""The Clean Power Plan is something that Sen. Sanders has said he would delay implementing.""",fake,469,2766
12728,2016-07-20T20:57:04-04:00,Rick Scott,"""Our economy is not growing.""",fake,572,3315
10245,2014-11-20T17:09:07-05:00,Jeb Bush,"The Orange County, Florida, school board ""voted to make it impossible for a student to receive a grade below 50.""",real,998,5740
11961,2016-02-25T21:30:22-05:00,Donald Trump,"""If it werenât for me â¦ (illegal immigration) wouldnât even be a big subject.""",fake,215,1295
4930,2011-12-11T13:10:37-05:00,Rick Perry,"Says the paperback edition of Mitt Romney's book deleted line that Massachusetts' individual mandate ""should be the model for the country""",fake,1229,6912
139,2007-10-22T00:00:00-04:00,Tom Tancredo,"He received ""A"" ratings from ""every conservative organization that gives ratings.""",real,369,2248
9887,2014-09-11T17:27:38-04:00,Charlie Crist,"Says Rick Scott ""thinks employers should be able to deny women coverage for birth control.""",real,707,4228
11721,2015-12-30T09:41:19-05:00,Viral image,"Says U.S. Rep. Ted Yoho said ""African Americans should only be given three-fifths of a vote.""",fake,612,3559
16149,2018-11-01T11:32:48-04:00,Josh Hawley,"Says Claire McCaskill ""voted against including health records in the background check system.""",fake,826,5162
